source_frame,crop_id,bbox,complex_label,distance,Anger_prob,Happy_prob,Panic_prob,Sadness_prob,Neutral_prob
j2gctU0c3ZE_jpg.rf.576397e8e6483e89d171dfa8fe4be846,No_Face,None,None,None,None,None,None,None,None
m1WZS5ye404_jpg.rf.706dfd9e949650fbc5843d51558a7353,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_3-vHy5-5lxQ_jpg.rf.3d053cc92d2620031c2d18b3ba0665a1,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_4s0T5BO2Qjc_jpg.rf.02cf91d9dc5c672b2f2a9e85e780a5c3,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_51gGmC6zevM_jpg.rf.b80ee00f532c9203711793662349dd4e,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_C1GS2aKDSVg_jpg.rf.dddefa77b747c0720d4aa752c05112e8,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_ComALcRukmY_jpg.rf.660a08e5278193d4ade675705bf663f5,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_GenlGZhrmnM_jpg.rf.e8710d8a41b096090bbd38bfc0e9e70e,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_GgfGjJdYp-M_jpg.rf.dfcdb3d04fef41f5b7ce16bc04892903,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_MjZwrERreuY_jpg.rf.386a0c96327142cd57af29f0a4cf68c1,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_NwWVvPDlC2I_jpg.rf.13fb4291ecea3fce41a39b5dc1c4a2ab,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_QJOkMXGE6tU_jpg.rf.d391daed2b95e347b91f6c3adf717bf5,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_RV6-09J3HYU_jpg.rf.af01330c247a79b53fe677dd5436deae,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_S4Be6HDqyVk_jpg.rf.2920f383c8a2cc67fadbe8a7616e08d5,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_Vd-x2GRZ2A0_jpg.rf.dcb6f7e7fb7b672435251296c06f5927,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_bFwxz0RuorI_jpg.rf.f9c4342329a48c0f77c1761046d28410,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_bwz4iQp1DpA_jpg.rf.b97294a79454083aeba4fe327665e9e8,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_h_dERD8vduw_jpg.rf.aac30d92352cbb01cc5f6520c8b10ae1,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_iB5Q9agpz1I_jpg.rf.cf3bbb63ab2d24356d76811ad92862d9,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_oYMg1_VxlaM_jpg.rf.908a2195c132e1eb05dabecb50a799a3,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_qDviXxSpK-I_jpg.rf.3a1e9e54e475e4ca16076f0251ae5b63,crop_023,"[376, 269, 420, 346]",혼란,0.2582,0.0996,0.1348,0.2764,0.195,0.2944
moviegoers_theater_qa2CgmpKgkQ_jpg.rf.81ef069b15b53d18407549dc195de370,crop_001,"[26, 32, 78, 97]",공포,0.3175,0.0479,0.2026,0.4387,0.1311,0.1792
moviegoers_theater_rB7oEJ3AHS8_jpg.rf.16769cabe436d32431ec20be0ecb0ea9,No_Face,None,None,None,None,None,None,None,None
moviegoers_theater_x63JyViQJDE_jpg.rf.8b70ccb90508f8f531f3799733efd2a0,No_Face,None,None,None,None,None,None,None,None
people_watching_cine_9lDZuNV9R9E_jpg.rf.a8daf3416e1454cee3b91452e39b8de7,No_Face,None,None,None,None,None,None,None,None
people_watching_cine_ScB5z0wByIY_jpg.rf.142266e6bc48e638d0befad906dc92a9,No_Face,None,None,None,None,None,None,None,None
people_watching_movi_1A8U3NXzvIE_jpg.rf.73d1e0b4aa0c6c7104ceaab38da0c389,No_Face,None,None,None,None,None,None,None,None
theater_audience_fac_CPKqiiVbUg4_jpg.rf.5c57b5862e804ef9d4b647d85a76bdc1,No_Face,None,None,None,None,None,None,None,None
theater_audience_fac_sHSJ_XT3w3k_jpg.rf.523278e4b92c08a10892036032bf49de,No_Face,None,None,None,None,None,None,None,None
theater_crowd_watchi_-C_w-Oa57Zk_jpg.rf.bd3a2c669a391c112462b48c7b64b2a8,No_Face,None,None,None,None,None,None,None,None
theater_crowd_watchi_kfN6-ro055U_jpg.rf.25327c8d0c1251bc1565447528c90f6c,No_Face,None,None,None,None,None,None,None,None
